iata	icao	airline	callsign	country	comments	active
Q6	CDP	Aero Condor Peru	CONDOR-PERU	Peru		1
5F	CIR	Arctic Circle Air Service	AIR ARCTIC	United States		1
QC	CRD	Air Corridor	AIR CORRIDOR	Mozambique	defunct	0
NV	CRF	Air Central	AIR CENTRAL	Japan	Ceased operations 2010	0
CV	CVA	Air Chathams	CHATHAM	New Zealand		1
CW	CWM	Air Marshall Islands	AIR MARSHALLS	Marshall Islands		1
ZA	CYD	AccessAir	CYCLONE	United States	defunct	0
AH	DAH	Air Algérie	AIR ALGERIE	Algeria		1
KI	DHI	Adam Air	ADAM SKY	Indonesia	defunct	0
ER	DHL	Astar Air Cargo	D-H-L	United States	defunct, DHL	0
HO	DJA	Antinea Airlines	ANTINEA	Algeria	defunct	0
EN	DLA	Air Dolomiti	DOLOMITI	Italy		1
NM	DRD	Air Madrid	ALADA AIR	Spain	defunct	0
EE	EAY	Aero Airlines	REVAL	Estonia	defunct	0
4F	ECE	Air City	AIRCITY	Germany		1
EI	EIN	Aer Lingus	SHAMROCK	Ireland		1
E8	ELG	Alpi Eagles	ALPI EAGLES	Italy	defunct, ICAO code no longer allocated	0
KY	EQL	Air São Tomé and Príncipe	EQUATORIAL	São Tomé and Príncipe	defunct	0
PC	FAJ	Air Fiji	FIJIAIR	Fiji	defunct	0
OF	FIF	Air Finland	AIR FINLAND	Finland		1
FJ	FJI	Fiji Airways	PACIFIC	Fiji		1
RC	FLI	Atlantic Airways	FAROELINE	Faroe Islands		1
QH	FLZ	Aero Leasing	AIR FLORIDA	United States	dba Air Florida	1
NY	FXI	Air Iceland	FAXI	Iceland		1
2P	GAP	Air Philippines	ORIENT PACIFIC	Philippines		1
ZX	GGN	Air Georgian	GEORGIAN	Canada		1
2U	GIP	Air Guinee Express	FUTURE EXPRESS	Guinea		1
0A	GNT	Amber Air	GINTA	Lithuania		1
DA	GRG	Air Georgia	AIR GEORGIA	Georgia		1
GL	GRL	Air Greenland	GREENLAND	Denmark		1
LL	GRO	Allegro	ALLEGRO	Mexico	defunct	0
5Y	GTI	Atlas Air	GIANT	United States		1
GG	GUY	Air Guyane	GREEN BIRD	French Guiana		1
H9	HAD	Air D'Ayiti	HAITI AVIA	Haiti		1
GG	HAH	Air Comores International	AIR COMORES	Comoros		1
HD	HLN	Air Holland	ORANGE	Netherlands	defunct	0
8C	HZT	Air Horizon	HORIZON TOGO	Togo		1
W9	JAB	Air Bagan	AIR BAGAN	Myanmar		1
IP	JOL	Atyrau Air Ways	EDIL	Kazakhstan		1
QK	JZA	Air Canada Jazz	JAZZ	Canada		1
KK	KKK	Atlasjet	ATLASJET	Turkey		1
JS	KOR	Air Koryo	AIR KORYO	Democratic People's Republic of Korea		1
KC	KZR	Air Astana	ASTANALINE	Kazakhstan		1
LV	LBC	Albanian Airlines	ALBANIAN	Albania		1
3S	BOX	Aerologic	GERMAN CARGO	Germany		1
D4	LID	Alidaunia	ALIDA	Italy		1
CD	LLR	Alliance Air	ALLIED	India		1
XL	LNE	Aerolane	AEROLANE	Ecuador	Líneas Aéreas Nacionales Del Ecuador	1
A6	LPV	Air Alps Aviation	ALPAV	Austria		1
TD	LUR	Atlantis European Airways		Armenia		1
L8	LXG	Air Luxor GB	LUXOR GOLF	Guinea-Bissau		1
LK	LXR	Air Luxor	AIRLUXOR	Portugal	ICAO code no longer allocated	1
MK	MAU	Air Mauritius	AIRMAURITIUS	Mauritius		1
MD	MDG	Air Madagascar	AIR MADAGASCAR	Madagascar		1
9U	MLD	Air Moldova	AIR MOLDOVA	Moldova		1
L9	MLI	Air Mali	AIR MALI	Mali	defunct	0
A7	MPD	Air Plus Comet	RED COMET	Spain		1
