code,name,city,country,timezone,lat,lng,terminal,gate
ZEL,Bella Bella Airport,Bella Bella,Canada,America/Vancouver,52.139722,-128.063611,,
ZEM,Eastmain River Airport,Eastmain River,Canada,America/Nipigon,52.2264,-78.5225,,
ZEP,,,,Europe/London,0,0,,
IDA,Idaho Falls Rgnl,Idaho Falls,United States,America/Boise,43.514556,-112.07075,,
IDR,Devi Ahilyabai Holkar,Indore,India,Asia/Kolkata,22.721786,75.801086,,
ZFJ,Gare de Rennes,Rennes,France,Europe/Paris,48.726111,2.261667,,
ZFM,Fort Mcpherson,Fort Mcpherson,Canada,America/Inuvik,67.4075,-134.860556,,
ZFN,Tulita,Tulita,Canada,America/Yellowknife,64.0833333,-125.5833333,,
ZFQ,Gare Saint-Jean,Bordeaux,France,Europe/Paris,48.726111,2.261667,,
IEG,Babimost,Zielona Gora,Poland,Europe/Warsaw,52.138517,15.798556,,
IEV,Zhuliany Intl,Kiev,Ukraine,Europe/Kiev,50.401694,30.449697,,
ZGI,Gods River Airport,Gods River,Canada,UTC,54.8397,-94.0786,,
ZGN,,,,Asia/Chongqing,0,0,,
ZGS,,,,America/Goose_Bay,0,0,,
ZGU,Gaua Island Airport,Gaua Island,Vanuatu,Pacific/Efate,-14.2181,167.587,,
IFJ,Isafjordur,Isafjordur,Iceland,Atlantic/Reykjavik,66.058056,-23.135278,,
IFN,Esfahan Shahid Beheshti Intl,Isfahan,Iran,Asia/Tehran,32.750836,51.861267,,
IFP,Laughlin-Bullhead Intl,Bullhead,United States,America/Phoenix,35.1574,-114.56,,
ZHA,Zhanjiang Airport,Zhanjiang,China,Asia/Shanghai,21.2144,110.358,,
IFO,Ivano Frankivsk International Airport,Ivano-Frankivsk,Ukraine,Europe/Uzhgorod,48.884167,24.686111,,
ZHO,,,,America/Vancouver,0,0,,
IGA,Matthew Town,Matthew Town,Bahamas,America/Nassau,20.975,-73.666862,,
IGG,Igiugig Airport,Igiugig,United States,America/Anchorage,59.324,-155.902,,
IGS,Ingolstadt BF,Ingolstadt-Manching,Germany,Europe/Berlin,48.7777,11.422,,
IGR,Cataratas Del Iguazu,Iguazu Falls,Argentina,America/Argentina/Buenos_Aires,-25.737281,-54.473444,,
IGU,Cataratas Intl,Foz Do Iguacu,Brazil,America/Campo_Grande,-25.59615,-54.487206,,
ZIF,,,,America/Montreal,0,0,,
ZIH,Ixtapa Zihuatanejo Intl,Zihuatanejo,Mexico,America/Mexico_City,17.601569,-101.460536,,
ZIG,Ziguinchor,Ziguinchor,Senegal,Africa/Dakar,12.555617,-16.281783,,
QXB,Gare d'Aix-en-Provence TGV,Aix-en-Provence,France,Europe/Paris,48.726111,2.261667,,
QXG,Gare de d'Angers,Angers,France,Europe/Paris,48.726111,2.261667,,
IHR,,,,UTC,0,0,,
QYG,Berlin Airport Railway,Berlin,Germany,Europe/Berlin,0,0,,
ZJT,,,,Asia/Kuala_Lumpur,0,0,,
IIL,Ilam Airport,Ilam,Iran,Asia/Tehran,33.586606,46.404842,,
ZKE,Kashechewan Airport,Kashechewan,Canada,America/Nipigon,52.2825,-81.6778,,
ZKG,Kegaska Airport,Kegaska,Canada,America/Goose_Bay,50.195833,-61.265833,,
IJK,Izhevsk Airport,Izhevsk,Russia,Europe/Moscow,56.8281,53.4575,,
ZLO,Playa De Oro Intl,Manzanillo,Mexico,America/Mexico_City,19.144778,-104.558631,,
ZLN,Gare du Mans,Le Mans,France,Europe/Paris,48.726111,2.261667,,
IKA,Imam Khomeini,Tehran,Iran,Asia/Tehran,35.416111,51.152222,,
ZLS,,,,Europe/London,0,0,,
ZLT,La Tabatière Airport,La Tabatière,Canada,America/Goose_Bay,50.8308,-58.9756,,
IKO,Nikolski Air Station,Nikolski,United States,America/Nome,52.941667,-168.848889,,
ZMB,Hamburg Hbf,Hamburg,Germany,Europe/Berlin,53.552776,10.006683,,
IKS,Tiksi Airport,Tiksi,Russia,Asia/Yakutsk,71.6977,128.903,,
IKT,Irkutsk,Irkutsk,Russia,Asia/Irkutsk,52.268028,104.388975,,
ZMT,Masset Airport,Masset,Canada,America/Vancouver,54.0275,-132.125,,
ILF,Ilford Airport,Ilford,Canada,America/Winnipeg,56.0614,-95.6139,,
ZMU,Munich Railway,Munich,Germany,Europe/Berlin,48.1408,11.555,,
